,data
0,20.99884480506876
1,6.455163928690327
2,11.330713166359944
3,11.486141510040794
4,19.542883416753128
5,23.750555687716812
6,5.440623824640056
7,17.440366536771407
8,21.094670535410092
9,15.40802530602105
10,17.148764074565506
11,36.18467369727545
12,12.653463628436523
13,22.904097213169575
14,32.03791639842881
15,11.493407202116614
16,13.806408564023306
17,7.330451570228905
18,11.651348079936012
19,17.735144182971045
20,56.953410913081754
21,9.198850295043732
22,32.369649204747475
23,13.821544238192882
24,5.269304612335347
25,29.581263827902664
26,11.92054044125331
27,29.097825179038853
28,11.513764937103193
29,10.948727237361275
30,8.593974693557783
31,11.077181251192773
32,11.76429369268516
33,10.633654820206033
34,18.326554946624924
35,15.255008943895879
36,31.229291059206627
37,16.55745230051608
38,5.968738994137683
39,21.275156235684193
40,13.311649498017179
41,16.99873423826824
42,12.459074991076156
43,21.785998002659074
44,24.3112320053024
45,19.92244225356958
46,22.28401209955279
47,41.80597333098929
48,25.99297618268976
49,23.761892258559126
50,9.136210117736018
51,15.657359945442153
52,28.316815559185972
53,10.145125203788737
54,17.35915587347559
55,34.14041427264507
56,15.096459342223739
57,31.65876424275273
58,10.900893807945364
59,10.785977518280822
60,10.917463895235475
61,17.41482730317282
62,25.576591417139692
63,13.828850316449321
64,29.272398590224235
65,3.0702439328252837
66,14.088061812329101
67,23.850475972558876
68,16.593653761640315
69,7.635729984591558
70,6.604385957300943
71,12.558521950271835
72,22.14138948001907
73,7.339909305241093
74,29.310613979800426
75,14.852304419059323
76,14.527212967213654
77,21.379915312714537
78,23.491125200530547
79,20.419748914669757
80,29.68108386570757
81,16.765862656500314
82,3.147568288444034
83,6.855088676981485
84,6.959705146613499
85,27.182271610665527
86,12.121869336000277
87,19.240416676158198
88,11.217021038892513
89,10.424302681162802
90,37.64915213165527
91,26.01536862392921
92,20.589547479448186
93,14.58609250377348
94,7.859389746949805
95,19.910204084739497
96,27.60860856862642
97,14.213563123401318
98,19.3234709712159
99,8.800530610987112
100,19.259334897520766
101,23.819153210719215
102,11.917622046600334
103,19.998191329110593
104,7.8309246243939175
105,16.714100521063706
106,16.654127524907377
107,16.293902622979466
108,6.127267611170483
109,7.280540689663789
110,7.821514690959577
111,9.484167394769699
112,5.558846628885772
113,14.01665485272895
114,3.276537256426048
115,7.001333891144972
116,28.993012583786854
117,11.391101087174865
118,22.112408422336394
119,10.928505047655667
120,8.208858912481722
121,20.329243396618683
122,12.889108658830473
123,28.732743279407526
124,12.541981952299876
125,10.973978092834423
126,11.910694046729308
127,28.140939917615807
128,28.852516209493913
129,9.077996167909665
130,20.641816258680223
131,27.425003209127183
132,11.038356020879188
133,23.676149608669654
134,14.145832263424722
135,12.421394854449927
136,10.951374485472455
137,4.643829170938181
138,18.95546783845116
139,14.960711389464455
140,29.989945392798518
141,25.646950167243137
142,20.570090106174238
143,16.157459498553298
144,33.25194764866527
145,15.494359510469351
146,25.168212656808763
147,26.72101849028826
148,22.92360009597466
149,18.548697562783545
150,18.801534185620973
151,18.926521119303597
152,14.38337714317263
153,17.793522744408552
154,9.456746004134567
155,36.66947417528469
156,19.402722537560088
157,7.004040748497444
158,8.763060142539956
159,19.261080929724496
160,10.189640729988799
161,29.72681837494802
162,12.349842745572177
163,6.193600239967224
164,14.600662770378928
165,16.471913661319178
166,33.020385457991836
167,22.935243431416968
168,15.2820046365157
169,2.1724130282685867
170,20.051269611059894
171,18.341552377334327
172,14.52148317954751
173,22.177023606292757
174,17.277878336760946
175,14.437510339857512
176,19.471245626244983
177,25.93130532285385
178,24.90309114751869
179,10.776920175097978
180,17.205419641820882
181,21.20981379227283
182,10.700633460243795
183,9.251128043055045
184,13.899015707221071
185,9.500967584936705
186,14.292376359363523
187,9.843428401568387
188,17.481805961939536
189,16.668481186330247
190,12.699531952343973
191,14.724993658299226
192,25.76430115971795
193,14.840992527310929
194,10.061619827645309
195,26.5430606146279
196,1.7206818888385222
197,15.360778783944385
198,10.998517330810555
199,17.11667458873964
